EmployeeID,EmployeeName,Position,HireDate
6267,Porter Burghall,sales associate,8/5/1926
9201,Ingrid MacGraith,sales associate,9/5/1913
716,Barby Easterbrook,assistant manager,5/21/1935
4094,Urson Beasley,supervisor,4/18/2020
6819,Terrill McDoual,customer service representative,1/30/1993
8214,Peta Bliben,cleaner,6/26/1952
1042,Brittany Hymus,manager,10/24/2006
9540,Deny De Beauchamp,manager,7/12/1920
6759,Augusto Eastwell,stock clerk,12/20/1983
8303,Neilla McKendo,assistant manager,5/2/1970
7645,Damara Prati,cleaner,6/9/1984
4647,Baxy Brind,stock clerk,9/10/1943
2370,Mariellen Garton,manager,9/29/1939
2064,Minta Crosser,cleaner,10/28/1940
9352,Adelaide Dugdale,assistant manager,8/21/2018
9500,Kathlin Garland,cleaner,12/26/2022
5910,Harry Kitteman,sales associate,6/17/1951
8048,Odey Roman,customer service representative,1/10/1996
1956,Silvester Merigeau,stock clerk,12/1/1902
386,Lem Stanhope,customer service representative,1/18/1913
7678,Glenn Gotts,manager,5/7/2019
5992,Horton Forman,cleaner,9/26/2022
1428,Tan Worwood,manager,1/31/1941
5004,Deerdre Pyrton,cashier,5/29/1923
3672,Griffy Jessel,stock clerk,4/13/1956
9711,Pietra Sollowaye,manager,9/1/2022
4851,Normand Swyre,vendor,2/3/1952
5557,Cammi Oleksiak,cleaner,9/28/1967
3473,Alli Romera,assistant manager,7/15/1930
9614,Aguste Wollen,supervisor,10/19/1999
2613,Franny Frankiss,manager,5/30/2006
8858,Aimil Keely,cashier,3/13/1970
51,Kendal Hupka,manager,9/16/1982
3803,Junia Inkle,security guard,10/20/1929
3418,Noby Muino,supervisor,11/20/1916
1334,Kane Louw,stock clerk,1/23/2000
9228,Vivie Grayne,stock clerk,12/29/1969
9820,Harli Kauffman,sales associate,5/18/1928
9584,Gabby Runcieman,cleaner,2/24/1974
3029,Carlee Larciere,supervisor,2/2/2012
7981,Tory Crilly,supervisor,5/27/1958
5174,Dionisio Coughan,cleaner,3/28/2002
9904,Sibby Blinde,cleaner,9/26/2001
7557,Salim Torrese,supervisor,8/24/1913
9577,Mel Redd,manager,11/27/1933
3642,Madison Cranson,security guard,1/23/1930
9562,Indira Voden,customer service representative,12/25/2024
3937,Jermaine Vail,cashier,4/1/1975
5375,Denise Prujean,manager,5/21/2015
2034,Friederike Tennet,supervisor,7/31/1908
4358,Yard Stadden,cashier,4/24/1964
6484,Elicia Beininck,sales associate,5/22/1932
1625,Mariette Gunthorp,vendor,3/23/1933
1331,Dania Gwynne,manager,4/23/1945
5368,Katusha Gilloran,cashier,5/7/2021
7969,Clarita Balmadier,customer service representative,8/25/1975
